"MESH","I","PL","S","INDEX"
"5238071523",4.845,0.08,0.02,-2
"5238061632",4.339,-1.00,-1.00,-2
"5238071541",4.852,1.54,0.12,-2
"5238071542",4.849,1.45,0.12,-2
"5238061544",4.339,-1.00,-1.00,-2
"5238061634",4.338,-1.00,-1.00,-2
"5238071033",4.328,-1.00,-1.00,-2
"5238071543",4.861,2.19,0.06,-2
"5238071544",4.853,1.51,0.05,-2
"5238062422",4.323,-1.00,-1.00,-2
"5238062511",4.341,-1.00,-1.00,-2
"5238062512",4.350,-1.00,-1.00,-2
"5238062521",4.352,-1.00,-1.00,-2
"5238072512",4.968,1.67,0.06,-2
"5238072521",4.864,0.63,0.10,-2
"5238062113",4.568,0.00,0.00,-2
"5238062414",4.331,-1.00,-1.00,-2
"5238062423",4.337,-1.00,-1.00,-2
"5238072514",4.982,2.90,0.04,-2
"5238072523",4.974,0.00,0.00,-2
"5238062042",4.581,0.00,0.00,-2
"5238062342",4.285,-1.00,-1.00,-2
"5238072531",4.928,0.76,0.01,-2
"5238072532",4.984,0.00,0.00,-2
"5238072541",4.977,-1.00,-1.00,-2
"5238072742",4.748,0.00,0.00,-2
"5238062343",4.268,-1.00,-1.00,-2
"5238072533",4.634,0.00,0.00,-2
"5238072534",4.554,0.00,0.00,-2
"5238072743",4.443,-1.00,-1.00,-2
"5238072744",4.752,0.00,0.00,-2
"5238063321",4.255,-1.00,-1.00,-2
"5238073511",4.813,0.00,0.00,-2
"5238073722",4.755,0.00,0.00,-2
"5238073513",4.800,0.00,0.00,-2
"5238073432",4.825,0.00,0.00,-2
"5238073441",4.793,0.64,0.02,-2
"5238073443",4.502,0.00,0.00,-2
"5238073533",4.768,0.00,0.00,-2
"5238073833",4.788,0.00,0.00,-2
"5238074511",4.604,0.00,0.00,-2
"5238074811",4.790,0.02,0.01,-2
"5238074513",4.751,0.00,0.00,-2
"5238074534",4.605,0.00,0.00,-2
"5238074543",4.595,-1.00,-1.00,-2
"5238075521",4.579,-1.00,-1.00,-2
